"图片编号","股票名称","股票代码"
"1","阳光电源","300274"
"1","国电南瑞","600406"
"1","华能国际","600011"
"1","中国核电","601985"
"1","华东医药","000963"
"1","翰宇药业","300199"
"1","圣诺生物","688117"
"1","ST诺泰","688076"
"1","中国电影","600977"
"1","重庆啤酒","600132"
"1","中远海控","601919"
"2","拓维信息","002261"
"2","齐翔腾达","002408"
"2","贵州茅台","600519"
"2","中体产业","600158"
"2","共创草坪","605099"
"2","中简科技","300777"
"2","光威复材","300699"
"2","中复神鹰","688295"
"2","许继电气","000400"
"2","思源电气","002028"
"2","视觉中国","000681"
"2","科士达","002518"
"3","五矿资本","600390"
"3","鱼跃医疗","002223"
"3","云南白药","000538"
"3","东阿阿胶","000423"
"3","粤传媒","002181"
"3","中科曙光","603019"
"3","协鑫能科","002015"
"3","北方稀土","600111"
"3","紫金矿业","601899"
"3","中国能建","601868"
"3","光线传媒","300251"
"3","中国卫星","600118"
"4","宁德时代","300750"
"4","鹏辉能源","300438"
"4","中国石油","601857"
"4","招商银行","600036"
"4","山东药玻","600529"
"4","长江电力","600900"
"4","青岛啤酒","600600"
"4","中国西电","601179"
"4","阳光电源","300274"
"4","国电南瑞","600406"
"4","华能国际","600011"
"4","中国核电","601985"
"5","新华保险","601336"
"5","中国人寿","601628"
"5","中国平安","601318"
"5","交运股份","600676"
"5","舒华体育","605299"
"5","药明康德","603259"
"5","蓝思科技","300433"
"5","宜安科技","300328"
"5","精研科技","300709"
"5","海信视像","600060"
"5","海信家电","000921"
"5","中国中铁","601390"
"6","航天动力","600343"
"6","摩尔线程-U","688795"
"6","豫能控股","001896"
"6","特变电工","600089"
"6","国电电力","600795"
"6","中信建投","601066"
"6","中信证券","600030"
"6","北方国际","000065"
"6","中国广核","003816"
"6","美的集团","000333"
"6","长盈精密","300115"
"6","领益智造","002600"
"7","花园生物","300401"
"7","工业富联","601138"
"7","立讯精密","002475"
"7","再升科技","603601"
"7","海康威视","002415"
"7","天银机电","300342"
"7","应流股份","603308"
"7","信维通信","300136"
"7","钢研高纳","300034"
"7","西部材料","002149"
"7","航天晨光","600501"
"7","航天电子","600879"
